production_id,name,obra_title,obra_id,productora_name,synopsis,direction,theater,address,barrio,ciudad_partido,localidad,provincia,start_date,end_date,image_id,image_url,instagram,website,source,is_new
185,Cantada - Festival de Microrecitales de Cantantes,Cantada - Festival de Microrecitales de Cantantes,83736,,,,PANDA ROJO ESPACIO CULTURAL,Sarmiento 3096,,Capital Federal,Capital Federal,Buenos Aires,,,175,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/36/000264836.jpg,,https://alternativateatral.com/obra83736-cantada-festival-de-microrecitales-de-cantantes,alternativateatral_api,true
186,El Circuito - Espacio Escénico Abierto,El Circuito - Espacio Escénico Abierto,83737,,,,PANDA ROJO ESPACIO CULTURAL,Sarmiento 3096,,Capital Federal,Capital Federal,Buenos Aires,,,176,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/19/000311619.jpg,,https://alternativateatral.com/obra83737-el-circuito-espacio-escenico-abierto,alternativateatral_api,true
187,Mirjana y los que la rodean,Mirjana y los que la rodean,83758,,,,TEATRO MUNICIPAL DEL VIEJO CONCEJO DE SAN ISIDRO,9 de julio 512,,San Isidro,San Isidro,Buenos Aires,,,177,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/01/000300501.jpg,,https://alternativateatral.com/obra83758-mirjana-y-los-que-la-rodean,alternativateatral_api,true
188,Liquidación total!,Liquidación total!,83764,,,,DUDOU VINTAGE,GUATEMALA 4334,Palermo,CABA,Palermo - CABA,CABA,,,178,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/98/000281298.jpg,,https://alternativateatral.com/obra83764-liquidacion-total,alternativateatral_api,true
189,"Tiempos modernos, Pablo Picotto","Tiempos modernos, Pablo Picotto",83867,,,,EL ALAMBIQUE,Griveo 2350,Villa Pueyrredón,CABA,Villa Pueyrredón - CABA,CABA,,,179,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/97/000311797.jpg,,https://alternativateatral.com/obra83867-tiempos-modernos-pablo-picotto,alternativateatral_api,true
190,LA PACIENCIA (fatídica sindical),LA PACIENCIA (fatídica sindical),84051,,,,EL CAMARÍN DE LAS MUSAS,Mario Bravo 960,,Capital Federal,Capital Federal,Buenos Aires,,,180,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/13/000282413.jpg,,https://alternativateatral.com/obra84051-la-paciencia-fatidica-sindical,alternativateatral_api,true
191,Parlamento,Parlamento,84083,,,,TEATRO PICADERO,Pasaje Santos Discepolo 1857,,Capital Federal,Capital Federal,Buenos Aires,,,181,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/49/000302449.jpg,,https://alternativateatral.com/obra84083-parlamento,alternativateatral_api,true
192,Jazzteroide - Jazz Cuarteto,Jazzteroide - Jazz Cuarteto,84123,,,,LA SCALA DE SAN TELMO + GIUFFRA,Pasaje Giuffra 371,,Capital Federal,Capital Federal,Buenos Aires,,,182,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/18/000312218.jpg,,https://alternativateatral.com/obra84123-jazzteroide-jazz-cuarteto,alternativateatral_api,true
193,Festival Estacional,Festival Estacional,84135,,,,PANDA ROJO ESPACIO CULTURAL,Sarmiento 3096,,Capital Federal,Capital Federal,Buenos Aires,,,183,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/28/000311628.jpg,,https://alternativateatral.com/obra84135-festival-estacional,alternativateatral_api,true
194,La gravedad de las burbujas,La gravedad de las burbujas,84311,,,,LA CHINA CASA CULTURAL,Dr. Adolfo dickman 1200 (entre Maturín y Cucha cucha),La Paternal,CABA,La Paternal - CABA,CABA,,,184,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/10/000266610.jpg,,https://alternativateatral.com/obra84311-la-gravedad-de-las-burbujas,alternativateatral_api,true
